word,review_html,content_url
building,https://www.codecademy.com/review-cards/5e9f4bde751ed60011a86ae8,https://www.codecademy.com/paths/analyze-data-with-r/tracks/introduction-to-machine-learning-in-r/modules/linear-regression-in-r/lessons/linear-regression-in-r
print,https://www.codecademy.com/review-cards/5cb1bdad5f1de87da04f6fa3,https://www.codecademy.com/paths/introduction-to-android-with-java/tracks/introduction-to-android-and-java/modules/learn-java-hello-world/lessons/hello-world-java
byte,https://www.codecademy.com/review-cards/5cb1c08037090210c3df3fc8,https://www.codecademy.com/paths/introduction-to-android-with-java/tracks/introduction-to-android-and-java/modules/learn-java-hello-world/lessons/hello-world-java
terminated,https://www.codecademy.com/review-cards/5caf01055f1de87e174f66a8,https://www.codecademy.com/paths/introduction-to-android-with-java/tracks/introduction-to-android-and-java/modules/learn-java-hello-world/lessons/hello-world-java
module,https://www.codecademy.com/review-cards/5e98545da82cfa0011cf4d00,https://www.codecademy.com/courses/learn-ruby/lessons/object-oriented-programming-ii
require,https://www.codecademy.com/review-cards/5e9864c081c0120011bc6bae,https://www.codecademy.com/courses/learn-ruby/lessons/object-oriented-programming-ii
descriptive,https://www.codecademy.com/review-cards/5ecd44177ffde60011df0223,https://www.codecademy.com/courses/bapi-javascript-fundamentals/lessons/variables
undefined,https://www.codecademy.com/review-cards/5b561ebc646caa563fda0dbd,https://www.codecademy.com/courses/bapi-javascript-fundamentals/lessons/variables
concatenated,https://www.codecademy.com/review-cards/5b561ebb646caa563fda0dac,https://www.codecademy.com/courses/bapi-javascript-fundamentals/lessons/variables
declare,https://www.codecademy.com/review-cards/5b561ebb646caa563fda0db3,https://www.codecademy.com/courses/bapi-javascript-fundamentals/lessons/variables
overriding,https://www.codecademy.com/review-cards/5ec327f8e7f48900178d68d3,https://www.codecademy.com/courses/learn-swift/lessons/swift-classes
subclass,https://www.codecademy.com/review-cards/5ec3274af148f40013aca77f,https://www.codecademy.com/courses/learn-swift/lessons/swift-classes
properties,https://www.codecademy.com/review-cards/5ec326abe7f48900178d68c9,https://www.codecademy.com/courses/learn-swift/lessons/swift-classes
